OrderID,OrderDate,CustomerID,ProductID,SalespersonID,Quantity,UnitPrice,DiscountPct,GrossSales,DiscountAmount,NetSales,UnitCost,TotalCost,Profit,PaymentMethod,Channel,Status,ProfitMarginPct
ORD000001,2024-03-15,C0455,P047,S002,3,943.05,0.0585,2829.15,165.51,2663.64,455.15,1365.45,1298.19,Credit Card,Online,Completed,0.4873744199666622
ORD000002,2024-02-11,C0336,P018,S009,5,478.25,0.0433,2391.25,103.54,2287.71,252.6,1263.0,1024.71,Credit Card,Partner,Completed,0.4479195352557798
ORD000003,2025-02-25,C0668,P016,S029,1,1526.06,0.0131,1526.06,19.99,1506.07,1074.12,1074.12,431.95,Bank Transfer,Retail Store,Completed,0.2868060581513476
ORD000004,2024-06-29,C1148,P039,S019,2,1595.53,0.0449,3191.06,143.28,3047.78,1171.41,2342.82,704.96,Credit Card,Retail Store,Completed,0.231302784321703
ORD000005,2025-06-28,C0014,P043,S017,1,1566.69,0.018,1566.69,28.2,1538.49,1215.35,1215.35,323.14,Bank Transfer,Online,Completed,0.2100371143133852
ORD000006,2024-03-11,C0027,P028,S027,1,996.84,0.0665,996.84,66.29,930.55,567.6,567.6,362.95,UPI,Online,Completed,0.39003814948148946
ORD000007,2025-07-21,C1074,P042,S030,5,1788.05,0.042,8940.25,375.49,8564.76,1041.65,5208.25,3356.51,Cash,Partner,Completed,0.39189772976709214
ORD000008,2024-04-14,C0187,P009,S001,1,343.79,0.0371,343.79,12.75,331.04,253.79,253.79,77.25,UPI,Online,Completed,0.2333554857419043
ORD000009,2024-07-18,C1081,P020,S023,2,695.94,0.0761,1391.88,105.92,1285.96,374.13,748.26,537.7,Wallet,Online,Completed,0.41813120159258454
ORD000010,2024-04-10,C0771,P018,S008,2,478.25,0.065,-956.5,-62.17,-894.33,252.6,-505.2,-389.13,Cash,Online,Returned,0.43510784609707825
ORD000011,2024-11-02,C0667,P025,S001,3,779.29,0.0106,2337.87,24.78,2313.09,485.42,1456.26,856.83,Cash,Online,Completed,0.3704265722475131
ORD000012,2025-08-08,C0990,P058,S011,1,996.5,0.0733,996.5,73.04,923.46,611.43,611.43,312.03,Credit Card,Direct Sales,Completed,0.337892274705997
