MonthStart,SalespersonID,SalesTarget
2024-01-01,S001,127756.78
2024-01-01,S002,130428.81
2024-01-01,S003,115037.16
2024-01-01,S004,168237.03
2024-01-01,S005,158292.66
2024-01-01,S006,104369.34
2024-01-01,S007,128035.3
2024-01-01,S008,115008.42
2024-01-01,S009,109378.24
2024-01-01,S010,158714.47
2024-01-01,S011,99198.92
2024-01-01,S012,124193.46
2024-01-01,S013,122308.14
2024-01-01,S014,120956.02
2024-01-01,S015,113806.88
2024-01-01,S016,93910.54
2024-01-01,S017,131348.24
2024-01-01,S018,101234.35
2024-01-01,S019,173006.58
2024-01-01,S020,97092.02
2024-01-01,S021,116386.05
2024-01-01,S022,146577.58
2024-01-01,S023,169690.66
2024-01-01,S024,122547.15
2024-01-01,S025,107305.97
2024-01-01,S026,96259.96
2024-01-01,S027,149513.7
2024-01-01,S028,159576.15
2024-01-01,S029,178669.94
2024-01-01,S030,166978.59
2024-02-01,S001,167983.53
2024-02-01,S002,124211.36
2024-02-01,S003,130806.93
2024-02-01,S004,165069.94
2024-02-01,S005,104638.87
2024-02-01,S006,121974.36
2024-02-01,S007,150315.77
2024-02-01,S008,153163.83
2024-02-01,S009,151519.29
2024-02-01,S010,96426.23
2024-02-01,S011,147148.05
2024-02-01,S012,138072.59
2024-02-01,S013,112032.98
2024-02-01,S014,131603.42
2024-02-01,S015,114295.3
2024-02-01,S016,173285.21
2024-02-01,S017,151934.58
2024-02-01,S018,109765.37
2024-02-01,S019,119185.45
2024-02-01,S020,159148.22
2024-02-01,S021,95034.42
2024-02-01,S022,163962.23
2024-02-01,S023,162454.12
2024-02-01,S024,126104.83
2024-02-01,S025,95956.97
2024-02-01,S026,172182.25
2024-02-01,S027,141046.2
2024-02-01,S028,154612.28
2024-02-01,S029,109136.39
2024-02-01,S030,134930.81
2024-03-01,S001,169621.48
2024-03-01,S002,147856.67
2024-03-01,S003,102858.44
2024-03-01,S004,102566.73
2024-03-01,S005,157049.01
2024-03-01,S006,138507.96
2024-03-01,S007,157231.24
2024-03-01,S008,128559.04
2024-03-01,S009,142517.96
2024-03-01,S010,122579.68
2024-03-01,S011,179759.32
2024-03-01,S012,102449.86
2024-03-01,S013,134416.43
2024-03-01,S014,158020.39
2024-03-01,S015,167499.26
2024-03-01,S016,103755.72
2024-03-01,S017,104398.38
2024-03-01,S018,151243.31
2024-03-01,S019,143676.81
2024-03-01,S020,124629.06
2024-03-01,S021,143629.96
2024-03-01,S022,132124.49
2024-03-01,S023,112627.27
2024-03-01,S024,139790.33
2024-03-01,S025,174818.78
2024-03-01,S026,151225.51
2024-03-01,S027,100309.66
2024-03-01,S028,169630.96
2024-03-01,S029,157579.0
2024-03-01,S030,159173.89
2024-04-01,S001,120615.79
2024-04-01,S002,116415.01
2024-04-01,S003,104234.2
2024-04-01,S004,90292.08
2024-04-01,S005,154988.29
2024-04-01,S006,154771.26
2024-04-01,S007,177469.93
2024-04-01,S008,158576.6
2024-04-01,S009,135691.35
2024-04-01,S010,99576.97
2024-04-01,S011,146277.02
2024-04-01,S012,165750.24
2024-04-01,S013,135689.66
2024-04-01,S014,107902.0
2024-04-01,S015,123652.25
2024-04-01,S016,104539.41
2024-04-01,S017,175814.98
2024-04-01,S018,173019.07
2024-04-01,S019,172664.41
2024-04-01,S020,143905.01
2024-04-01,S021,133974.51
2024-04-01,S022,100068.1
2024-04-01,S023,122668.27
2024-04-01,S024,178678.92
2024-04-01,S025,162609.73
2024-04-01,S026,111550.71
2024-04-01,S027,111678.44
2024-04-01,S028,141062.12
2024-04-01,S029,97088.13
2024-04-01,S030,155871.68
2024-05-01,S001,163442.09
2024-05-01,S002,178018.6
2024-05-01,S003,137943.56
2024-05-01,S004,101318.45
2024-05-01,S005,149377.57
2024-05-01,S006,175216.38
2024-05-01,S007,104861.43
2024-05-01,S008,137490.64
2024-05-01,S009,144593.45
2024-05-01,S010,176792.66
2024-05-01,S011,173602.21
2024-05-01,S012,157973.87
2024-05-01,S013,152088.09
2024-05-01,S014,154165.41
2024-05-01,S015,125909.31
2024-05-01,S016,150451.83
2024-05-01,S017,123607.85
2024-05-01,S018,170965.27
2024-05-01,S019,130633.75
2024-05-01,S020,112311.51
2024-05-01,S021,95762.33
2024-05-01,S022,91893.08
2024-05-01,S023,139852.94
2024-05-01,S024,142959.61
2024-05-01,S025,90647.18
2024-05-01,S026,153705.69
2024-05-01,S027,95298.64
2024-05-01,S028,96066.03
2024-05-01,S029,92827.17
2024-05-01,S030,119738.56
2024-06-01,S001,136274.05
2024-06-01,S002,115062.95
2024-06-01,S003,133687.3
2024-06-01,S004,138531.05
2024-06-01,S005,155101.73
2024-06-01,S006,169414.48
2024-06-01,S007,141859.05
2024-06-01,S008,111869.75
2024-06-01,S009,132567.56
2024-06-01,S010,126635.4
2024-06-01,S011,98489.32
2024-06-01,S012,149308.45
2024-06-01,S013,121886.78
2024-06-01,S014,126999.2
2024-06-01,S015,167745.31
2024-06-01,S016,94875.41
2024-06-01,S017,148810.99
2024-06-01,S018,148156.18
2024-06-01,S019,95455.14
2024-06-01,S020,155539.22
2024-06-01,S021,162053.33
2024-06-01,S022,99834.21
2024-06-01,S023,107243.11
2024-06-01,S024,138265.72
2024-06-01,S025,102616.41
2024-06-01,S026,106513.92
2024-06-01,S027,131636.53
2024-06-01,S028,168703.74
2024-06-01,S029,96784.64
2024-06-01,S030,162722.0
2024-07-01,S001,167037.02
2024-07-01,S002,98811.79
2024-07-01,S003,148693.04
2024-07-01,S004,138652.91
2024-07-01,S005,91328.21
2024-07-01,S006,98393.65
2024-07-01,S007,157820.9
2024-07-01,S008,111274.15
2024-07-01,S009,126577.27
2024-07-01,S010,133322.26
2024-07-01,S011,167818.54
2024-07-01,S012,171219.86
2024-07-01,S013,104817.34
2024-07-01,S014,90193.98
2024-07-01,S015,125137.96
2024-07-01,S016,173386.63
2024-07-01,S017,160661.64
2024-07-01,S018,115672.43
2024-07-01,S019,152693.24
2024-07-01,S020,155745.48
2024-07-01,S021,160502.54
2024-07-01,S022,149568.42
2024-07-01,S023,133800.43
2024-07-01,S024,107090.81
2024-07-01,S025,109593.08
2024-07-01,S026,95263.5
2024-07-01,S027,156216.35
2024-07-01,S028,95486.18
2024-07-01,S029,118224.43
2024-07-01,S030,94512.81
2024-08-01,S001,132910.97
2024-08-01,S002,172744.84
2024-08-01,S003,137801.35
2024-08-01,S004,95119.16
2024-08-01,S005,135704.56
2024-08-01,S006,166620.83
2024-08-01,S007,96166.92
2024-08-01,S008,96116.48
2024-08-01,S009,167563.73
2024-08-01,S010,126339.8
2024-08-01,S011,174743.65
2024-08-01,S012,141270.79
2024-08-01,S013,142102.72
2024-08-01,S014,93576.75
2024-08-01,S015,97378.51
2024-08-01,S016,149163.58
